epoch,train_triplet_loss,val_triplet_loss,train_class_loss,val_class_loss,train_acc,val_acc
1,0.9275618429925963,0.8890668050600932,0.4315223328957943,1.3037453485796084,0.6821156984913705,0.7026503736443819
2,0.751336984165615,0.7927841558479346,0.36789717898222163,1.1914669450085897,0.6995130574073618,0.7501027505636508
3,0.701484926754948,0.7349432294185345,0.35956774443495837,1.1328141566079397,0.7157519893895276,0.7564299530039275
4,0.5463636834241801,0.48333811939049226,0.31631148925592584,0.8708933093226873,0.7814727676658955,0.8332420724493239
5,0.317980866685995,0.46095980496074146,0.24905686010353814,0.8166185700549529,0.8790060912429529,0.8503879572400083
6,0.2175335877398602,0.4891477427087151,0.2191256554336686,0.7614268240733788,0.9215596371456753,0.793465458083679
7,0.1644238730908267,0.49204718600958586,0.20681496244934988,0.747928070047727,0.9390989484142271,0.7833052985150082
8,0.13628990961681373,0.5106369169572225,0.2000248952711448,0.7170873689823426,0.9536392528423661,0.7639914753142591
9,0.11414810636982915,0.55789569636377,0.1929286523431144,0.7059861931663293,0.9591082847980159,0.7336442768920877
10,0.09394360569376493,0.5700892813217181,0.1909970528973026,0.7486260321277839,0.9668006215851819,0.749865078333353
11,0.09804230097532991,0.6158740509014863,0.18825906772161996,0.6977436164250741,0.964656106946449,0.7066001972285579
12,0.039386093191829466,0.6212426269283662,0.17110781334745007,0.6820798407380397,0.9857546201093139,0.6932216142540308
13,0.03164703301878689,0.7048275920634086,0.16925359573956708,0.6687926094119365,0.9888253059943177,0.6263332952532522
14,0.03308107712012867,0.6061606918676541,0.16909294544895537,0.705095765968928,0.9889169798058679,0.6844927404921259
15,0.0302708775784699,0.6942934760680566,0.1669510517031206,0.6694436130615381,0.9893646361635521,0.6317308184722534
16,0.03215362590853354,0.6616010075578322,0.16593864687748783,0.6816580867251525,0.9884299135679726,0.6688864727733985
17,0.02775047818565038,0.7392829484664477,0.16560392988569342,0.6898951006050293,0.9901174065210818,0.6105169305353665
18,0.01488143223392877,0.7236739712265822,0.16304403900273315,0.6816989894096668,0.9952764031994532,0.6098538118817731
19,0.011302079481889457,0.7084803753174268,0.16055789593476869,0.6808704561912097,0.9964567438543335,0.6170949362683884
20,0.011015362552264919,0.6823368962281026,0.15988669988437498,0.6859749807761266,0.9965191387559809,0.6340070881475092
